Title,Year,Genre,Rating,Certificate,Directors,Cast,Description,Runtime
Scandal: Sin in the City (2001) ,2001,Drama,4.4,,['Melissa Monet'],"['Jarod Carey', 'Amber Newman', 'Shyra Deland', 'Michelle von Flotow', 'Jason Schnuit', 'Justin Carroll', 'Kim Sill', 'Gina Ryder', 'Robert Donavan', 'Danny Pape', 'Sean Juergens', 'Veronica Hart', 'Zoe Paul', 'Jim Bonner', 'Jack Skeets Gleeson']","Scandal: Sin in the City: Directed by Melissa Monet. With Jarod Carey, Amber Newman, Shyra Deland, Michelle von Flotow. Tim LeRoy worked as the head of department in the New York real estate agency, engaged in major transactions. Tim received honoraria not in one hundred thousand dollars. His weakness was not money, but a woman. Once he succumbed to temptation and had sex with her co-worker Brenda Cooper. The next day the chief Tim notified of dismissal, because Brenda has filed for Leroy to court for sexual harassment and demanded compensation from the real estate agency at 10 million dollars.",
Extreme Force (2001) ,2001,Action,3.6,R,['Michel Qissi'],"['Hector Echavarria', 'Michel Qissi', 'Youssef Qissi', 'Myriam Mesdagh', 'Nikki Lemke', 'Louis Iacoviello', 'Adam Leadbeater', 'Chad A. Martin', 'Fitz', 'Ronald Fox', 'Doreen Heard', 'Mary C. Casey', 'Mike Barnes', 'Dennis Hopkins', 'Britt George', 'Sallie Glaner', 'William M. Larkin', 'Leigh Luft', 'Jim Accomando', 'Iris Lynne Sherman', 'Phi-Long Nguyen', 'Matt Wilson', 'Rob Carr', 'Jack Brand', 'Ben Irizarry', 'Dan Nichols', 'Kevin Pate', 'Robert Hardenburg', 'Tony Interdonato', 'Michael Belfonti', 'Paul Raucel', 'Tracy Frenkel', 'Dale Cannon', 'Anthony Gallo', 'Will Bittendorf', 'Sean Hensley', 'Larnell Anthony', 'Dave Kramer', ""Aurelio 'Al' Fuentes"", 'Durron Butler', 'Dre James', 'Geoffrey R. Motil', ""'Big' Jim Flanagan"", 'Carolyn Caines', 'Jennifer Adams', 'Angela Rust', 'Terry Gimenez', 'Tracy DeCastro', 'Todd Whalen', 'Charlie Silveira', 'Brian Vanderpool', 'Mark Hirchert', 'Jennifer Thompson', 'Heintz Menard', 'Kelly Earnest Brock', 'Gretchen White', 'Andrew Whittaker', 'Mike Hocker', 'Diego Martinez', 'Ludovic Colapietro', 'Luigi Colapietro', 'Ludo Colapietro', 'Giuseppe Peralta', 'Cenzig Kemal', 'Hassen Faradji', 'James P. Bennett', 'David Moss', 'David Jackson', 'Ruth A. Schorer', 'Wolfgang Schorer', 'Sally I. Gillespie', 'William M. Gillespie', 'Bill Arthur', 'Marci Albright', 'Arthur J. Byrnes', 'Janos Novak', 'Sexton E. Garcia', 'Shannon Touchstone', 'Melinda Interdonato', 'Anthony Interdonato', 'Scott duPont', 'Bruce Timmons', 'Paisley Blackburn', 'Alejandra Perez', 'Scott Timmons', 'Ted Christino', 'Lee Waggy', 'Sasha Bell', 'Tony Miranda', 'Wayne Evans', 'Mike Connor', 'Tracy Davis', 'David Hurley', ""David 'Senshi' Perez"", 'Bill Robinson', 'Bill Robins', 'Tracy Kanary', 'Drew Gardner', 'Garrik Palumbo', 'Drew Gorden', 'Kaylania Chapman', 'Sean Ramey', 'David W. Jackson', 'Lee Perkins']","Extreme Force: Directed by Michel Qissi. With Hector Echavarria, Michel Qissi, Youssef Qissi, Myriam Mesdagh. An international thief becomes a hero as he seeks revenge against the partner who betrayed him.",90
Initial D: Third Stage (2001) ,2001,"Animation, Action, Romance",7.7,TV-PG,"['Shin Misawa', 'Noritsugu Yamaguchi']","['Chris Ayres', 'Greg Ayres', 'Christopher Bevins', 'Steve Blum', 'John Burgmeier', 'Charles C. Campbell', 'Bruce Carey', 'Chris Cason', 'James Cave', 'Colleen Clinkenbeard', 'Cynthia Cranz', 'Terri Doty', 'Jason Douglas', 'Jon Duckworth', 'Scott Freeman', 'Cris George', 'Jessie James Grelle', 'Todd Haberkorn', 'Chad Halbrook', 'Nobuyuki Hiyama', 'Stephen Hoff', 'Chuck Huber', 'Unshô Ishizuka', 'Mitsuo Iwata', 'Ayako Kawasumi', 'Takehito Koyasu', 'Jim Kuenzer', 'Joel McDonald', 'Vic Mignogna', ""Shin'ichirô Miki"", 'Anastasia Munoz', 'Trina Nishimura', 'Kôsuke Okano', 'Brina Palencia', 'Ben Phillips', 'Kyle Phillips', 'Monica Rial', 'Christopher Sabat', 'Tomokazu Seki', 'Will Short', 'Wataru Takagi', 'J. Michael Tatum', 'Joseph Tompkins', 'Eric Vale', 'Kent Williams', 'Kazuki Yao']","Initial D: Third Stage: Directed by Shin Misawa, Noritsugu Yamaguchi. With Chris Ayres, Greg Ayres, Christopher Bevins, Steve Blum. More races and challenges for soon-to-be-graduate/drift racer Takumi Fujiwara. Of course, with all the bells and whistles of a big screen production.",100
Hunger (2001) ,2001,Drama,7.7,Not Rated,['Maria Giese'],"['Joseph Culp', 'Robert Culp', 'Kathleen Luong', 'Redmond Gleeson', 'Daniel Franklin', 'James Evans', 'Harold Cannon', 'Lou Aguilar', 'T. Henry Amitai', 'Casper Andreas', 'Jason Berlin', 'V. Ray Bodie', 'Frank Bruynbroek', 'J.D. Douglas', 'Glenn Hoeffner', 'Drake Johnston', 'Jude Narita', 'Gregg Ostrin', 'Nicole Ozment', 'James Quill', 'Susan Rich', 'Ron Sarchian', 'Bruce Solomon', 'Jennifer Joan Sullivan', 'Ho-Kwan Tse', 'Ignacio Valero', 'Herman Wilkins']","Hunger: Directed by Maria Giese. With Joseph Culp, Robert Culp, Kathleen Luong, Redmond Gleeson. A sensitive writer from a small town faces spiritual crisis as he tries to make it as a Hollywood screenwriter. Charlie Pontus (Joseph Culp) wanders around Los Angeles torn between his efforts to sell a screenplay and find his next meal. His natural optimism keeps him afloat as he walks the tight-rope between his love for the beautiful, exotic Ylayali (Kathleen Luong) and his desperate connection to The Chief (Robert Culp), the Hollywood producer who has the power to give life or take it away. Stubbornly refusing to relinquish his principles, he sinks deeper and deeper into spiritual crisis, finally confronting God in a Jobian showdown. Ultimately, the story illustrates the difficult balance between artistic integrity and the commercial necessities of Hollywood. This ""towering portrait of an artist's indomitable spirit"" is based on ""Hunger"" (1890), the first existentialist novel ever written and the greatest work of Norwegian Nobel laureate, Knut Hamsun. This is the first digital feature to be based on a classic work of literature. Shot guerrilla-style on the streets of Los Angeles, it was made entirely independently for a budget of only $10,000.",82
Down Time (2001) ,2001,"Drama, Crime",3.2,R,['Sean Wilson'],"['William Van Noland', 'Peter Quartaroli', 'Sam McBride', 'Joy Garner', 'James Anthony Cotton', 'Kevon Kane', 'David Fine', 'David Berkson', 'David Cordoni', 'Mario Montes', 'David Dyno Rocha', 'Kelwin Hagen', 'Christian Canterbury', 'James Bolko', 'Jeff Guerrero', 'Danton Mew', 'Randall Ng', 'Bob Ngim', 'Matt Pennypacker', 'Bob Quinn', 'Lory-Michael Ringuette', 'Bryan Soo', 'Wolfgang Von Huttick', 'Ron Zeno']","Down Time: Directed by Sean Wilson. With William Van Noland, Peter Quartaroli, Sam McBride, Joy Garner. A street hustler who makes all the wrong moves finds himself doing hard time in the penitentiary in this hard-edged drama. Slim is a small time drug dealer who tries to make that one big deal that is going to put him on easy street. With his partner in crime Paulie they think they have a major dope deal set up but unfortunately for them the deal goes terribly wrong and they are lucky to come away with their lives. They get busted and Slim later finds out that Paulie testified against him to save his own skin. Slim's best efforts at plea-bargaining still leave him with a eight year sentence in San Quentin one of California's most notorious prisons. Slim quickly discovers that life in prison is divided along strict racial lines. Slim does his best to stay away out of all the racially inspired violence and stay to himself. But one of his fellow convicts KC pulls a dope fiend move that puts Slim on the enemies list of Sammytown, who is the brutal leader of the prison's white supremacist population. Slim tries his best to survive his time behind the walls, passing the time playing cards with a odd ball group of convicts, Big Mario, Eddie, and Hillbilly Kenny, Telling Jokes to break up the oppressive boredom of prison life. Then his former partner visits him in prison and tries to talk him out of the location of the money that was never recovered from their botched dope deal. Slim doesn't want anything to do with his past life or his ex-crime partner but upon his release Paulie and his old girlfriend have other plans in store for him.",90
Lunch with Charles (2001) ,2001,"Adventure, Comedy, Drama",6.5,,['Michael Parker'],"['Ching Wan Lau', 'Nicholas Lea', 'Theresa Lee', 'Bif Naked', 'Françoise Yip', 'Tom Scholte', 'Philip Granger', 'Peter Wilds', 'Simon Kendall', 'Tom Landa', 'Geoff Kelly', 'Shannon Saunders', 'Steve Mitchell', 'Peta Brookstone', 'Kelt Eccleston', 'Keith Franklin', 'Koush Gandhi', 'Tobias Godson', 'Patrick Gunn', 'Jen Halley', 'Irene Karas Loeper', 'Kufoo Chang', 'Law Shuk Fun', 'Sammuel Leung', 'Nancy J. Lilley', 'Bill Mackenzie', 'Rydyr Morse', 'John Murphy', 'Ng Yo Yo', 'Melissa Rebronja', 'Alex Tin', 'Tso Men Kwong', 'Pat Waldron', 'Sai-Wing Yip', 'Richard Yee', 'Tseng Chang']","Lunch with Charles: Directed by Michael Parker. With Ching Wan Lau, Nicholas Lea, Theresa Lee, Bif Naked. Tong and April are married, but have been estranged since she moved to Vancouver three years ago to pursue her career. Tong decides to go look for her because he thinks she's having an affair.",
Pursuit of Happiness (2001) ,2001,"Comedy, Romance",5.7,Not Rated,['John Putch'],"['Frank Whaley', 'Annabeth Gish', 'Amy Jo Johnson', 'Patrick Van Horn', 'Cress Williams', 'Liz Vassey', 'Alex Hyde-White', 'Dawn Eason', 'Jenn Gross', 'Jean Stapleton', 'Kieran Mulroney', 'Anne-Marie Johnson', 'Michelle Krusiec', 'Megan Blake', 'Jessica Randle', 'Tom Wright', 'Tudi Roche', 'Amy Tinkham', 'Michael Raysses', ""Michael 'Mick' Harrity"", 'Ernest Hardin Jr.', 'Ken Kerman', 'Adam Baldwin', 'David Cowgill', 'Jonathan Rosenbloom', 'Jeff Yagher']","Pursuit of Happiness: Directed by John Putch. With Frank Whaley, Annabeth Gish, Amy Jo Johnson, Patrick Van Horn. An advertising executive fails to realize that the woman of his dreams is his best friend since first grade, now married to his cheating co-worker.",93
My First Mister (2001) ,2001,"Comedy, Drama, Romance",7.2,R,['Christine Lahti'],"['Rutanya Alda', 'Natasha Braisewell', 'Albert Brooks', 'Henry Brown', 'Gary Bullock', 'Kevin Cooney', 'Nic Costa', 'William Forward', 'John Goodman', 'Desmond Harrington', 'Shawn Huff', 'Carol Kane', 'Michael McKean', 'Chadwick Palmatier', 'Pauley Perrette', 'Lisa Jane Persky', 'Mary Kay Place', 'Katee Sackhoff', 'Lorna Scott', 'Leelee Sobieski', 'Matthew St. Clair', 'Chris Wylde', 'Christine Lahti', 'Joan Blair', 'Louis E. Rosas', 'Gene Simmons', 'Rainbow Underhill', 'Henny Youngman']","My First Mister: Directed by Christine Lahti. With Rutanya Alda, Natasha Braisewell, Albert Brooks, Henry Brown. A 17-year-old girl has a troubled relationship with a 49-year-old man.",109
Stickmen (2001) ,2001,"Comedy, Drama, Sport",6.6,R,['Hamish Rothwell'],"['Robbie Magasiva', 'Paolo Rotondo', 'Scott Wills', 'Simone Kessell', 'Anne Nordhaus', 'Kirk Torrance', 'John Leigh', 'Enrico Mammarella', 'Luanne Gordon', 'Matthew Chamberlain', 'James Coleman', 'Rhys Morgan', 'Victor Rodger', 'Mick Rose', 'Shane Bartle', 'Neville Stevenson', 'Irene Wood', 'Emma Nooyen', 'Angie Meiklejohn', 'Sara Denby', 'Peter Daube', 'Nick Ward', 'Dra McKay', 'Chris Ryan', 'Joe Smith', 'Phil Grieve', 'Bronwyn Bradley', 'Kim Feasy', 'Midge Barnett', 'Charlie Brown', 'John Watson', 'Flic', 'Davey Kuresa', 'Glen Jarvis', 'Kosma Aragias', 'Jim Serepisos', 'Corrin Cantrick', 'Clint McCullogh', 'Warren Friend', 'Chris Matthews', 'Sarah Hodgetts', 'Tui Preston', 'Joan Foster', 'Cevin Lapslie', 'Keith Magnussen', 'Frank Moorhead', 'Bill Morris', 'Giada Del Drago', 'Gareth Farr']","Stickmen: Directed by Hamish Rothwell. With Robbie Magasiva, Paolo Rotondo, Scott Wills, Simone Kessell. Three young men unwittingly become involved in an underground pool tournament.",98
The Private Public (2001) ,2001,"Comedy, Drama",4.2,R,['Dana Altman'],"['Traci Bingham', 'David Burns', 'Jason Cornwell', 'Curt Smith', 'Kelly Lynch', 'Blair Stevens', 'Ross Brockley', 'Michael Moore', 'Glen Naessens', 'Cory Brown', 'Brian Calek', 'Robb Vallier', 'Utah Naganuma', 'Billi Fay', 'Fred Vallier', 'Sasha Steinhoffel', 'Woogie Thomas', 'Jason Schultz', 'Geoff Hamilton', 'Walter T. Falls III', 'Bill Menendez', 'Nate Huber', 'Louis Lee Wyman', 'Byron Whitley', 'Courtney Vacanti', 'Sam Johnson', 'Ubong Stowe', 'Nick Pearson', 'Lowell Hager', 'Jeff Kouba']","The Private Public: Directed by Dana Altman. With Traci Bingham, David Burns, Jason Cornwell, Curt Smith. Zeke Lareau and Auggie Jacobs are two college seniors who have never met. Both are only a semester away from graduation, or so they think. During a night out on the town, a bar scuffle breaks out and mistakenly lands them in the county jail. After spending the night in cells joined by a window, they discover that although their personalities are night and day in comparison, they both share personal desires for Auggie's extremely liberated ex-girlfriend, Laina, as well as a desire for the truth. Zeke and Auggie soon find themselves engulfed in local stardom after teaming up in film class for a locally broadcasted mini-documentary that reveals Laina's lesbian life style and Zeke and Auggie's unique interests in her. But that stardom soon places Zeke and Auggie in the greatest struggle of their lives when their second documentary, which exposes a nationally acclaimed professor as a sexual offender, is met by opposition from the university, as well as the local authorities. Facing expulsion from the university and possible charges from local authorities, Auggie and Zeke, as well as mid-life crisis advocate Professor Roger Powell, are faced with the question of whether to gain by subsiding, or accept whatever consequences that may come from doing the right thing.",90
Miss Wonton (2001) ,2001,Drama,7.0,Not Rated,['Meng Ong'],"['Amy Ting', 'Ben Wang', 'James C. Burns', 'Chyna Ng', 'Sakura Ting', 'Scott Chan', 'Han Ying Shen', 'Victoria Rong', 'Claire Peng', 'Liu Yang', 'Cornel Chan', 'Lynne Otis', 'Tienne Vu', 'Elene Chung', 'Shing Ka', 'Jeannie Ng', 'Elisa Lam', 'Rich Dita', 'Eliot Sash', 'Elizabeth Chiang', 'Yang Liu']","Miss Wonton: Directed by Meng Ong. With Amy Ting, Ben Wang, James C. Burns, Chyna Ng. Miss Wonton begins with the arrival of a young Chinese immigrant, Ah Na (Amy Ting), to her new place of work, the Buddha's Happiness in New York. At Buddha's Happiness, she meets other immigrant workersand hears their idiosyncratic dreams of the future.",87
Donnie Darko (2001) ,2001,"Drama, Mystery, Sci-Fi",8.0,UA,['Richard Kelly'],"['Jake Gyllenhaal', 'Holmes Osborne', 'Maggie Gyllenhaal', 'Daveigh Chase', 'Mary McDonnell', 'James Duval', 'Arthur Taxier', 'Patrick Swayze', 'Mark Hoffman', 'David St. James', 'Tom Tangen', 'Jazzie Mahannah', 'Jolene Purdy', 'Stuart Stone', 'Gary Lundy', 'Alex Greenwald', 'Beth Grant', 'Jena Malone', 'Seth Rogen', 'David Moreland', 'Noah Wyle', 'Drew Barrymore', 'Kristina Malota', 'Marina Malota Darling', 'Carly Naples', 'Tiler Peck', 'Patience Cleveland', 'Katharine Ross', 'Lisa K. Wyatt', 'Rachel Winfree', 'Jack Salvatore Jr.', 'Lee Weaver', 'Phyllis Lyons', 'Ashley Tisdale', 'Alison Jones', 'Jerry Trainor', 'Joan Blair', 'Sarah Hudson', 'Fran Kranz', 'Scotty Leavenworth', 'George Bush', 'Conrad Angel Corral', 'Michael Dukakis', 'Phil Hawn', 'Nancy Juvonen', 'Spencer Kayden', 'Christie McNew', 'Margaret Kontra Palmer', 'Dee Austin Robertson', 'Jack Truman']","Donnie Darko: Directed by Richard Kelly. With Jake Gyllenhaal, Holmes Osborne, Maggie Gyllenhaal, Daveigh Chase. After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.",113
Super Troopers (2001) ,2001,"Comedy, Crime, Mystery",7.0,R,['Jay Chandrasekhar'],"['André Vippolis', 'Joey Kern', 'Geoffrey Arend', 'Erik Stolhanske', 'Jay Chandrasekhar', 'Steve Lemme', 'Kevin Heffernan', 'Paul Soter', 'Camille Hickman', 'Marisa Coughlan', 'Aria Alpert Adjani', 'Daniel von Bargen', 'James Grace', 'Michael Weaver', 'Dan Fey', 'Brian Cox', 'Jim Gaffigan', ""Chloe Kai O'Connor"", 'Amy de Lucia', 'Christian Albrizio', 'Jim Edwards', 'Jimmy Noonan', 'John Bedford Lloyd', 'Philippe Brenninkmeyer', 'Maria Tornberg', 'Blanchard Ryan', 'Jane Heffernan', 'E. Michael Heffernan', 'Charlie Finn', 'Lynda Carter', 'Tracy Tobin', 'Richard Perello', 'Trish McGettrick', 'Danny Padilla', 'John Carlino', 'Walt MacPherson', 'Jerry Walsh', 'Christy Lee Hughes', 'Collin Warhaftig']","Super Troopers: Directed by Jay Chandrasekhar. With André Vippolis, Joey Kern, Geoffrey Arend, Erik Stolhanske. Five Vermont state troopers, avid pranksters with a knack for screwing up, try to save their jobs and out-do the local police department by solving a crime.",100
The Believer (2001) ,2001,Drama,7.1,R,['Henry Bean'],"['Ryan Gosling', 'Peter Meadows', 'Garret Dillahunt', 'Kris Eivers', 'Joel Marsh Garland', 'Billy Zane', 'Theresa Russell', 'Summer Phoenix', 'Jack Drummond', 'Sig Libowitz', 'James McCaffrey', 'Jacob Green', 'Frank Winters', 'Ronald Guttman', 'Heather Goldenhersh', 'A.D. Miles', 'Tommy Nohilly', 'Joshua Harto', 'Chuck Ardezzone', 'Glenn Fitzgerald', 'Ebon Moss-Bachrach', 'Christopher Kadish', 'David Bailey', 'Lucille Patton', 'John Wills Martin', 'Michael Marcus', 'Roberto Gari', 'Sascha Knopf', 'Tibor Feldman', 'Henry Bean', 'Dean Strober', 'Elizabeth Reaser', 'Jordan Lage', 'Judah Lazarus', 'Samantha Brody', 'Michael Port', 'Carl Fischer', 'Harvey Lieberman', 'Eileen B. Weiss', 'Marc Baron', 'Brendan Patrick Connor', 'Tovah Feldshuh', 'Russell Gibson', 'Zoe Hunter', 'Natasha Leggero', 'Patrick Edward White']","The Believer: Directed by Henry Bean. With Ryan Gosling, Peter Meadows, Garret Dillahunt, Kris Eivers. A young Jewish man develops a fiercely anti-Semitic philosophy. Based on the factual story of a K.K.K. member in the 1960s who was revealed to be Jewish by a New York Times reporter.",98
In the Bedroom (2001) ,2001,"Crime, Drama",7.4,UA,['Todd Field'],"['Tom Wilkinson', 'Sissy Spacek', 'Nick Stahl', 'Marisa Tomei', 'William Mapother', 'William Wise', 'Celia Weston', 'Karen Allen', 'Frank T. Wells', 'W. Clapham Murray', 'Justin Ashforth', 'Terry A. Burgess', 'Jonathan Walsh', 'Diane E. Hamlin', 'Camden Munson', 'Christopher Adams', 'Henry Field', 'Deborah Derecktor', 'Harriet Dawkins', 'Bill Dawkins', 'Kevin Chapman', 'Joseph Field', 'Harold Withee', 'David Blair', 'Elisabeth McClure', 'Alida P. Field', 'Andrea Wright', 'John Campanello', 'Robert Demkowicz', 'Veronica Cartwright', 'Daran Norris', 'Don Lewis', 'Doug Rich', 'Sara Armstrong', 'Elly Barksdale', 'Erin Barksdale', 'Adah Holman', 'Gwendolyn Gilchrist', 'Shauneen Grout', 'Jessie Lanoue', 'Alicia Laplant', 'Iris Leslie', 'Erica Towle-Powers', 'Nichole Wimbiscus', 'Anna Winsor', 'Evanne Weirich', 'Robin Wimbiscus', 'Lisa Carlton', 'Rebecca Benner', 'Francis Mazzeo', 'Tyler Shane Smith-Campbell', 'Brian Hagley', 'Sam Cousins', 'Jackie Hagley', 'Comenic Cuccinello III', 'Ronald Russell', 'Rachel Freeman', 'Dale Johnson', 'Daniel Hendricks', 'Parker Spear', 'Sam Johnson', 'Matthew Maxwell', 'Shyann Gauthier', 'Joshua Mills', 'Bethany Berry', 'Eric Rahkonen', 'Hope Berry', 'Natalie Russell', 'Chelsea Peasley', 'Misty Seekins', 'Daniel Baxter-Leahy', 'Philip Spearing', 'Brandon Carleton', 'Mackenzie Tucker', 'Owen Thompson', 'Ben Staples', 'Ryan Ecker', 'Jared Meklin', 'Tom Cumler', 'Samantha Czosnek', 'Jennifer Struk', 'Geoff Wingham']","In the Bedroom: Directed by Todd Field. With Tom Wilkinson, Sissy Spacek, Nick Stahl, Marisa Tomei. A New England couple's college-aged son dates an older woman who has two small children and an unwelcome ex-husband.",131
Hedwig and the Angry Inch (2001) ,2001,"Comedy, Drama, Music",7.7,R,['John Cameron Mitchell'],"['John Cameron Mitchell', 'Miriam Shor', 'Stephen Trask', 'Theodore Liscinski', 'Rob Campbell', 'Michael Aronov', 'Andrea Martin', 'Ben Mayer-Goodman', 'Alberta Watson', 'Gene Pyrz', 'Michael Pitt', 'Karen Hines', 'Max Toulch', 'Maurice Dean Wint', 'Ermes Blarasin', 'Sook-Yin Lee', 'Maggie Moore', 'Renate Options', 'Taylor Abrahamse', 'Thérèse DePrez', 'Mary Krohnert', 'Shane Mackinnon', 'Alan Mandell', 'Eileen Murphy', ""Rosie O'Donnell"", 'Mike Potter', 'Michael Stevens']","Hedwig and the Angry Inch: Directed by John Cameron Mitchell. With John Cameron Mitchell, Miriam Shor, Stephen Trask, Theodore Liscinski. A gender-queer punk-rock singer from East Berlin tours the U.S. with her band as she tells her life story and follows the former lover/band-mate who stole her songs.",95
